Year,Fm_Gen_Abund_Ind,Fm_Gen_2_5CI,Fm_Gen_97_5CI,Fm_Spec_Abund_Ind,Fm_Spec_2_5CI,Fm_Spec_97_5CI,Wood_Gen_Abund_Ind,Wood_Gen_2_5CI,Wood_Gen_97_5CI,Wood_Spec_Abund_Ind,Wood_Spec_2_5CI,Wood_Spec_97_5CI,Wet_Abund_Ind,Wet_2_5CI,Wet_97_5CI
1988,99.30874586,82.30258279,120.7901776,49.6470815,44.01474734,55.2455788,92.32307176,86.87808907,98.52412359,84.17260254,78.09167766,93.49308783,101.0343847,90.16973434,113.8357781
1989,101.4233725,84.17878403,122.9989939,48.63084868,42.90707441,54.40739634,93.07075508,87.41069414,99.28225497,82.757151,76.26067827,92.7528769,101.8416612,90.5650959,115.9967951
1990,102.9048873,84.82625654,125.864993,47.53367125,41.82311493,52.93200639,92.2978929,86.77090908,99.05672585,79.64479251,72.97275296,89.18934501,100.7278261,89.37045378,115.3686141
1991,102.7851605,84.65597605,127.3965321,45.96266594,40.12323949,51.38170828,90.87361171,85.4874761,98.23779015,75.44538557,68.82004798,84.49839868,98.01609662,86.97211794,112.2939141
1992,100.8522714,83.11503508,124.9216293,44.3324541,37.8869745,49.4328757,90.56321583,85.13098232,98.12426729,71.34084096,65.13829967,79.31174741,95.76045299,84.2619524,109.7820102
1993,98.57303807,81.99155834,121.7882864,43.03245027,36.04114186,48.60701654,91.45381073,86.13870976,99.23859695,68.47158751,62.00022517,75.62477588,94.96753984,82.22881875,108.4245996
1994,97.42815617,81.66299999,120.2543121,42.22418764,35.02911773,47.44392334,92.61606588,86.96052747,100.50088,66.99402538,60.00702409,74.08514683,95.63793533,81.07403802,108.0084645
1995,97.27851449,81.45045615,120.6521689,41.66931919,34.52883171,46.83002862,93.29173321,87.48700539,101.2651808,66.81335808,58.9509864,74.86470424,96.96265556,81.65410382,108.7665569
1996,97.49532799,81.43816504,121.0061909,40.89965542,33.93821197,46.2148869,93.46634449,87.60784566,101.5434826,67.41673881,59.46867846,75.90381354,97.03048278,81.34041115,109.1234584
1997,97.69394613,81.8189922,121.5457144,39.85887389,33.07043487,45.02494571,93.72843577,87.80732966,101.6700751,67.84300491,59.25000494,76.34932156,96.42973614,81.95077978,110.6008384
1998,97.72696861,82.1462263,121.6143606,38.8854701,32.34948729,43.7549169,95.02773898,89.03299388,103.1302098,67.13768321,58.81567493,75.45684184,96.43225393,83.37134393,111.7210483
1999,97.79224487,82.46376776,121.8333504,38.38278639,31.70074634,43.21081475,97.19564983,91.22038516,105.6665097,65.57175955,57.51385348,73.57253225,97.36173048,84.30261996,113.0120703
2000,98.21355142,82.83392444,121.9792063,38.29882293,31.79455609,42.95704931,99.07082711,92.84810123,107.2608289,63.82103542,56.07215251,71.30366042,98.7677039,85.50100097,114.6681291
2001,99.03667901,83.08930541,122.4322956,38.26115125,32.01596129,43.35974723,99.90356871,93.48428138,107.8496107,62.29818328,54.55377635,69.58970229,99.73151137,86.39887138,116.3961565
2002,100.3478567,83.40973793,123.6145477,38.05639467,32.18260485,43.00621506,100.1778955,93.42618547,108.112412,61.19241785,53.66505091,68.06127068,100.3763788,87.18080093,116.8233274
2003,101.8034075,84.88936082,125.1736723,37.67432567,32.13983529,42.66131725,100.7090398,93.80545626,108.9556173,60.43768123,53.05631982,67.04355889,100.1066206,87.35251725,115.523
2004,102.4838133,85.87539404,125.7142848,37.17939455,31.75189254,42.15304993,101.6966491,94.84612804,110.2875464,59.84461967,52.42517753,66.43979777,99.26574198,86.33050852,113.2199137
